Offre,Type_Activite,Cluster_Adresse,Adresse,Code_Postal,Commune,Code_Insee,Latitude,Longitude,Telephone,Mail,Url,Equipement,Animal_Accepte,Groupe_Accepte,Langue,Ouverture_Annee,Reservation_Possible
PÊCHE À CORDEMAIS,Activités sportives,       ,       ,44360,CORDEMAIS,44045,47.291429,-1.876729,02 40 85 95 13,,,,,,,oui,non
PÊCHE EN MER - LE TRISKELL - RÉGIS BLANDIN,,       ,       ,44420,LA TURBALLE,44211,47.3730044,-2.4929343,06 84 56 97 85,arttriskell@aol.com,,,,,,oui,non
PÊCHE EN LOIRE À ST FLORENT-LE-VIEIL,Activités sportives,      SAINT-FLORENT-LE-VIEIL,      SAINT-FLORENT-LE-VIEIL,49410,MAUGES-SUR-LOIRE,49244,47.3643984,-1.0262301,,,http://www.fedepeche49.fr/,,,,,,non
PÊCHE EN LOIRE QUAI DES MARINIERS,Activités sportives,    Quai des Mariniers MONTJEAN-SUR-LOIRE,    Quai des Mariniers MONTJEAN-SUR-LOIRE,49570,MAUGES-SUR-LOIRE,49244,47.3926332,-0.8627604,02 41 39 07 07,,,,oui,oui,,oui,non
PÊCHE EN LOIRE AU CUL DU MOULIN ET À LA PATACHE,Activités sportives,      Cul du Moulin - CHAMPTOCEAUX,      Cul du Moulin - CHAMPTOCEAUX,49270,OREE D'ANJOU,49069,47.3396501,-1.2746218,02 40 83 57 49,champtoceaux@uneautreloire.fr,http://www.champtoceaux.fr/tourisme/lieux-de-peche.html,,,,,,non
PÊCHE EN LAC ET RIVIÈRE,Activités sportives,    le moulin à eau  ,    le moulin à eau  ,85190,MACHE,85130,46.75108,-1.68057,02 51 55 70 54,,http://www.federation-peche-vendee.fr,,,,,,non
PÊCHE EN MER - A3PB,Activités sportives,  Ponton E Port Bourgenay  ,  Ponton E Port Bourgenay  ,85440,TALMONT-SAINT-HILAIRE,85288,46.4413592,-1.6795808,06 27 14 17 21,a3pb@aol.com,http://a3pb.com,,,,Anglais##Français,non,non
PÊCHE EN MER - LE BENJY-YOMI,,    Port de La Turballe  ,    Port de La Turballe  ,44420,LA TURBALLE,44211,47.346931,-2.513905,06 68 10 50 94,benjy.yomi@sfr.fr,,,,,,,non
RANDO CROQUIS,Aire de pique-nique##Base de loisirs,    impasse du Paradis  ,    impasse du Paradis  ,44450,DIVATTE-SUR-LOIRE,44029,47.2746573,-1.3404392,02 40 33 34 00,mairie@divattesurloire.fr,http://www.chapellebassemer.fr/,Aire de pique nique,,,,oui,non
RANDO SENTIERS PEDESTRES,Activités sportives,    les Grandes Braudières  ,    les Grandes Braudières  ,49310,CHEMILLE-EN-ANJOU,49092,47.185435,-0.6298669,,,,,,,,,non
CINEMA GRAND ECRAN,Cinéma,    1 rue Neuve  ,    1 rue Neuve  ,85500,LES HERBIERS,85109,46.8722119,-1.0140746,02 51 66 82 57,,http://www.cinemagrandecran.fr,Salle de projection##Toilettes,non,oui,Français,oui,non
"PÊCHE DANS LES BOIRES DE LA GRISERIE, CHAPOIN, QUEUE DE LA LUCE",Activités sportives,      LA VARENNE,      LA VARENNE,49270,OREE D'ANJOU,49069,47.3187882,-1.3240159,02 40 83 57 49,champtoceaux@uneautreloire.fr,,,,,,,non
"PÊCHE DANS LES PLANS D’EAU DU VIVIER, DE LA PRAIRIE ET DU MOULIN",Lac de pêche,       ,       ,72110,BONNETABLE,72039,48.1813937,0.43985074,,,,Aire de pique nique,oui,,,oui,non
PÊCHE DANS LE BASSIN VERSANT DE L'ÈVRE,Activités sportives,      Notre Dame du Marillais - LE MARILLAIS,      Notre Dame du Marillais - LE MARILLAIS,49410,MAUGES-SUR-LOIRE,49244,47.3631762,-1.0342559,,saintflorentlevieil@uneautreloire.fr,http://www.fedepeche49.fr,,,,,oui,non
RANDO MARCHE PEDESTRE,Activités sportives,    34 Rue Beausoleil  ,    34 Rue Beausoleil  ,49120,CHEMILLE-EN-ANJOU,49092,47.1504829,-0.739643,,,,,,,,,non
PÊCHE DANS LE TRIPOULIN (OU TRIPOULAIN),Lac de pêche,       ,       ,72110,BONNETABLE,72039,48.1784964,0.42827432,,,,Aire de pique nique,oui,,,oui,non
RANDO LES GODILLOTS DE L'HYROME,Activités sportives,       ,       ,49120,CHEMILLE-EN-ANJOU,49092,47.210107,-0.7274089,,,,,,,,,non
PÊCHE DANS LES MARAIS,Activités sportives,    Les Galtières (prendre la direction de Brem sur Mer par la forêt),    Les Galtières (prendre la direction de Brem sur Mer par la forêt),85340,OLONNE-SUR-MER,85166,46.560076,-1.791264,02 51 90 52 44,,,,,,,non,non
PÊCHE DANS L'ÉTANG DE LA FOUCAUDIÈRE,Activités sportives,      La Foucaudière - SAINT-LAURENT-DES-AUTELS,      La Foucaudière - SAINT-LAURENT-DES-AUTELS,49270,OREE D'ANJOU,49069,47.2740825,-1.1924147,02 40 83 57 49,champtoceaux@uneautreloire.fr,,,,,,,non
PÊCHE DANS LA BOIRE SAINTE CATHERINE,Activités sportives,      Le Fossé Neuf - BOUZILLE,      Le Fossé Neuf - BOUZILLE,49530,OREE D'ANJOU,49069,47.358045,-1.1228624,02 40 83 57 49,champtoceaux@uneautreloire.fr,,,,,,,non
RANDO FAMILLE RURALE,Activités sportives,       ,       ,49120,CHEMILLE-EN-ANJOU,49092,47.249737,-0.7745815,,,,,,,,,non
RANDO CLUB PEDESTRE,Activités sportives,    20 rue des Tisserands  ,    20 rue des Tisserands  ,49120,CHEMILLE-EN-ANJOU,49092,47.1461615,-0.6957261,,,,,,,,,non
RANCH DES BORD DE LOIRE ,Centre équestre,      L'Angle ,      L'Angle ,44360,SAINT-ETIENNE-DE-MONTLUC,44158,47.270638,-1.8393009,06 70 12 93 87 ,,,,,,,,non
QUINTESSIA-LE DOMAINE D'ORVAULT,Thalassothérapie,    24 Chemin des marais du Cens  ,    24 Chemin des marais du Cens  ,44700,ORVAULT,44114,47.2587593,-1.590199,02.40.76.84.02,contact@quintessia-resort.com,http://www.quintessia-resort.com/fr,,,,,,non
RALLYE TEAM CHEMILLOIS,Activités sportives,       ,       ,49120,CHEMILLE-EN-ANJOU,49092,47.2100819,-0.7274078,02 41 30 32 98,sarlmrc49@orange.fr,,,,,,,non
PÉTANQUE CHAUMOISE,Boulodrome,    Boulodrome des Sauniers Impasse de la salle des Sauniers,    Boulodrome des Sauniers Impasse de la salle des Sauniers,85100,LES SABLES-D'OLONNE,85194,46.521039,-1.80103,06 50 38 34 10,claudedelachaume@free.fr,http://www.petanquechaumoise.fr,,non,,,oui,non
PÊCHE À PIED,Lac de pêche,    Pointe de Casse Caillou  ,    Pointe de Casse Caillou  ,44740,BATZ-SUR-MER,44010,47.27537,-2.49411,,,,,,,,,non
PÊCHE DANS LES MARAIS DE GRANDE BRIÈRE,Lac de pêche,"    Mairie de Missillac 6, rue de la Fointaine Saint Jean","    Mairie de Missillac 6, rue de la Fointaine Saint Jean",44780,MISSILLAC,44098,47.4812205,-2.1588959,02 28 54 90 06,,http://www.csgbm.free.fr,,,,,,non
PÊCHE À GÉVRISE,Activités sportives,      BOTZ EN MAUGES,      BOTZ EN MAUGES,49110,MAUGES-SUR-LOIRE,49244,47.305468,-1.0312203,02 41 72 62 32,,,,,,,,non
PÔLE EQUESTRE VENDÉEN,Centre équestre,    La Jeannière  RD 109,    La Jeannière  RD 109,85150,SAINTE-FOY,85214,46.535518,-1.676163,02 51 96 06 78,contact@poleequestrevendeen.com,,,,,,oui,non
PÊCHE AU PÔLE DE LOISIRS DU LAC-SAVENAY,Activités sportives,    5 place Guépin  ,    5 place Guépin  ,44260,SAVENAY,44195,47.359814,-1.943206,02 28 01 60 16,,,,,,,,non
PÊCHE AU PLAN D'EAU DU PILORI-CAMPBON,Activités sportives,    Plan d'eau du Pilori  ,    Plan d'eau du Pilori  ,44750,CAMPBON,44025,47.41225,-1.96763,02 28 01 60 16,,,,,,,,non
PÊCHE À LA ZONE DE LOISIRS DE FALLERON,Activités sportives,       ,       ,85670,FALLERON,85086,46.88363,-1.70533,02 51 35 24 36,,,,,,,,non
PÉTANQUE DU PAYS GUÉRANDAIS,,    Terrain de Pétanque Stade Jean Ménager,    Terrain de Pétanque Stade Jean Ménager,44350,GUERANDE,44069,47.3343,-2.42412,06 70 17 95 92,baholet.yannick@orange.fr,http://petanque.guerandaise.jimdo.com,,,,,,non
"CINEMA DE BAUGE ""STELLA CINE""",Cinéma,    impasse du Presbytère-Baugé BP 25,    impasse du Presbytère-Baugé BP 25,49150,BAUGE-EN-ANJOU,49018,47.542553,-0.107081,02 41 89 63 65,,http://www.stellacine.fr,Salle de projection##Toilettes,non,oui,,oui,non
PÉTANQUE BRETIGNOLLAISE,Boulodrome,    18 rue de la Gîte  ,    18 rue de la Gîte  ,85470,BRETIGNOLLES-SUR-MER,85035,46.6307465,-1.8549104,06 70 50 10 31,petanque.bretignollaise@hotmail.com,,,,,,oui,non
PÊCHE DANS LE PLAN D'EAU À GRAND'LANDES,Activités sportives,       ,       ,85670,GRAND'LANDES,85102,46.8222,-1.64872,02 51 34 80 01,,,,,,,,non
PRESQU'ÎLE AÉROMODÉLISME,,       ,       ,44420,LA TURBALLE,44211,47.3730044,-2.4929343,06 74 79 33 10,presquile.aeromodelisme@gmail.com,http://www.presquile-aeromodelisme.fr,,,,,,non
PÊCHE À L'AIRE DE LOISIRS L'EAU VIVE À ST PAUL MONT PENIT,Activités sportives,       ,       ,85670,SAINT-PAUL-MONT-PENIT,85260,46.79557,-1.66012,02 51 98 58 30,,,,,,,,non
POSTES DE SECOURS DE LA GRANDE PLAGE ,Plage surveillée,    Grande Plage  ,    Grande Plage  ,85100,LES SABLES-D'OLONNE,85194,46.49,-1.78,02 51 32 06 95,nautique@institutsportsocean.com,http://www.ars.paysdeloire.sante.fr,,,,,non,non
PÊCHE EVAS'YON,Activités sportives,       ,       ,85430,LA BOISSIERE-DES-LANDES,85026,46.564599,-1.4619179,06 22 02 38 19,flech12@hotmail.com,http://www.peche-evasyon.com/,,,oui,,,non
PÊCHE AU PLAN D'EAU DE SAINTE FOY,Activités sportives,  RD109 route de Talmont Parc de loisirs du Pôle équestre Vendéen Lieu-dit la Jeannière,  RD109 route de Talmont Parc de loisirs du Pôle équestre Vendéen Lieu-dit la Jeannière,85150,SAINTE-FOY,85214,46.535518,-1.676163,06 74 59 75 90,,,,,,,oui,non
PÊCHE DANS LES ÉTANGS À SAINT ETIENNE DU BOIS,Activités sportives,       ,       ,85670,SAINT-ETIENNE-DU-BOIS,85210,46.83143,-1.59168,06 13 93 27 16,,,,,,,,non
PORT DU CORMIER,Port de plaisance,    Le Cormier  ,    Le Cormier  ,44770,LA PLAINE-SUR-MER,44126,47.15601,-2.17856,02 40 21 56 09,port.laplainesurmer@orange.fr,http://www.laplainesurmer.fr/vie-pratique/les-ports,Restaurant,non,,,,non
POSTE DE SECOURS DE SAUVETERRE,Plage surveillée,    Plage de Sauveterre  direction la forêt d'Olonne,    Plage de Sauveterre  direction la forêt d'Olonne,85340,OLONNE-SUR-MER,85166,46.542096,-1.827163,02 51 90 74 78,mairie.pm@olonnesurmer.fr,,,oui,,,non,non
PUZZLE GÉANT AU CHÂTEAU,,       ,       ,85220,APREMONT,85006,46.74988,-1.74119,02 51 55 70 54,,,,,,,,non
PÊCHE DANS LE PLAN D'EAU DE PALLUAU,Activités sportives,       ,       ,85670,PALLUAU,85169,46.80356,-1.62327,06 80 54 26 23,,,,,,,,non
PROMENADE EN ATTELAGE // CENTRE EQUESTRE DE LAVAL,,Bois de l'Huisserie      ,Bois de l'Huisserie      ,53000,LAVAL,53130,48.041213,-0.783141,02.43.02.90.13,centre.equestre.laval@wanadoo.fr,http://celaval.free.fr,,,,,,non
PUB RAY VAUGHAN,Bar à thème,48 rue du 130 régiment d'infanterie      ,48 rue du 130 régiment d'infanterie      ,53100,MAYENNE,53147,48.3046292,-0.6199976,02 43 00 28 98,,http://lejustice-mayenne.com/pub.php,,,,,,non
PÊCHE AUX ÉTANGS DES PLATANES ET DE PERNO,Lac de pêche,    Les Platanes  ,    Les Platanes  ,44780,MISSILLAC,44098,47.47669,-2.17333,06 12 72 22 11,,,,,,,,non
"PORT À SEC ""LES PORTES DE L'ATLANTIQUE""",Port de plaisance,    Rue du Camp d'Aviation Fosse du Carnet,    Rue du Camp d'Aviation Fosse du Carnet,44320,FROSSAY,44061,47.2860876,-2.0007033,02 40 27 10 10,nicolas@placedeport.fr,http://www.placedeport.fr,,,,Français,oui,non
PORT DE TRENTEMOULT,Port de plaisance,    Quai Surcouf  ,    Quai Surcouf  ,44400,REZE,44143,47.1952919,-1.5786091, 02.40.37.04.62,,,Toilettes,,,,oui,non
PORT DE PLAISANCE DE PORNICHET,Port de plaisance,    Port de plaisance  ,    Port de plaisance  ,44380,PORNICHET,44132,47.25858,-2.34598,02 40 61 03 20,portdepornichet@wanadoo.fr,http://www.portdepornichet.fr,Restaurant,,,Anglais,oui,non
PORT DE PLAISANCE DE PIRIAC-SUR-MER,Port de plaisance,    Bureau du Port 1 rue du Fort Baron,    Bureau du Port 1 rue du Fort Baron,44420,PIRIAC-SUR-MER,44125,47.3819,-2.54682,02 40 23 52 32,portpiriacsurmer@nantesstnazaire.cci.fr,http://www.portpiriacsurmer.fr,,,,Anglais##Espagnol,oui,non
PROMENADE A VELO,Formules itinérantes,       ,       ,85800,SAINT-GILLES-CROIX-DE-VIE,85222,46.697777,-1.944529,,,,,,,,,non
POSTE DE SECOURS PLAGE DES GRANGES ,Plage surveillée,    Plage des Granges  ,    Plage des Granges  ,85340,OLONNE-SUR-MER,85166,46.583996,-1.847591,02 51 90 54 56,mairie.pm@olonnesurmer.fr,,,oui,,,non,non
PROPRIÉTAIRES ET CHASSEURS DU BAS PAYS,,    Lenay  ,    Lenay  ,49260,MONTREUIL-BELLAY,49215,47.119073,-0.167399,02 41 52 45 63,,,,,,,,non
PRATICE DE GOLF,Golf,LA MARIONNIERE       ,LA MARIONNIERE       ,44860,PONT-SAINT-MARTIN,44130,47.1349987,-1.5870666,0678622673,,,,,,,,non
PORT DE PLAISANCE,Halte fluviale##Port de plaisance,    Quai Pierre de Coubertin  ,    Quai Pierre de Coubertin  ,53200,CHATEAU-GONTIER,53062,47.831157,-0.703919,02 53 68 50 11,info@canotika.fr,http://www.canotika.fr,Aire de pique nique,oui,oui,Allemand##Anglais,,non
POSTE DE SECOURS PLAGE DE TANCHET,Plage surveillée,    boulevard Kennedy  ,    boulevard Kennedy  ,85180,CHATEAU-D'OLONNE,85060,46.48,-1.76,02 51 32 31 47,,,,,,,non,non
PRAIRIE DU CHARDONNEAU,Aire de pique-nique,       ,       ,85600,SAINT-GEORGES-DE-MONTAIGU,85217,46.94751,-1.296767,,,,Aire de pique nique,,,,oui,non
PORT DE L’ERDRE,Port de plaisance,    Ile de Versailles  ,    Ile de Versailles  ,44000,NANTES,44109,47.225612,-1.5541609, 02.40.37.04.62,,,Toilettes,,,Anglais##Français,oui,non
PRISME,,       ,       ,44420,LA TURBALLE,44211,47.3730044,-2.4929343,,prisme.france@gmail.com,,,,,,,non
PORT DE PLAISANCE-PORT LA VIE,Activités sportives,    Bd de l'Egalité  ,    Bd de l'Egalité  ,85800,SAINT-GILLES-CROIX-DE-VIE,85222,46.6950489,-1.9385497,02.51.55.30.83,contact@portlavie.fr,http://www.portlavie.fr,,,,,,non
PORT LA RIVIÈRE,Aire de pique-nique##Cale de mise à l'eau##Ponton,      LA RIVIERE,    La rivière  ,44390,PETIT-MARS,44122,47.4071816,-1.4860373,,,,Aire de pique nique##Toilettes,,,,oui,non
PORT DE KERCABELLEC - MERQUEL,Port de plaisance,    Impasse du Traict  ,    Impasse du Traict  ,44420,MESQUER,44097,47.42005,-2.46748,02 40 42 61 78,mouillagemerquel@orange.fr,http://www.kercabellecmerquel.com,,,,,,non
PRACTICE DE GOLF,Golf,    Rue du port des Yachts  ,    Rue du port des Yachts  ,85460,LA FAUTE-SUR-MER,85307,46.3201286,-1.3084007,02 51 97 19 20,golfdelapresquile@gmail.com,,,,,,,non
PORT À SEC,Cale de mise à l'eau,  Zone de mouillage Capitainerie    ,  Zone de mouillage Capitainerie    ,85360,LA TRANCHE-SUR-MER,85294,46.3436072,-1.4290548,06 14 91 51 71,capitainerie@latranchesurmer.fr,http://www.latranchesurmer.fr,,,,,,non
CINEMA CINEJADE,Cinéma,    Avenue des Frères Lumières Parc d'Activités de la Guerche,    Avenue des Frères Lumières Parc d'Activités de la Guerche,44250,SAINT-BREVIN-LES-PINS,44154,47.2355728,-2.1556575,02 40 27 24 32,r.letort@tourisme-saint-brevin.fr,http://www.saint-brevin.fr/tourisme/cinema-cinejade.html,Salle de projection##Toilettes,non,oui,Français,oui,non
PORT DE COUERON,Port de plaisance,    Quai Commandant Lucas   ,    Quai Commandant Lucas   ,44220,COUERON,44047,47.2096409,-1.730724,,,,,,,Anglais##Français,oui,non
PORT DE BLAIN,Aire de pique-nique##Cale de mise à l'eau##Halte fluviale##Ponton##Port de plaisance,    Quai Surcouf  ,Quai Surcouf      ,44130,BLAIN,44015,47.470324,-1.766833,02 40 79 00 08,,http://www.ville-blain.fr,Aire de pique nique##Toilettes,,,Français,oui,oui
POSTE DE SECOURS BASSIN DOMBRET,Plage surveillée,    Corniche du Nouch  ,    Corniche du Nouch  ,85100,LES SABLES-D'OLONNE,85194,46.49,-1.81,02 51 21 65 22,,,,,,,non,non
PRAIRIE DE LA MIGEONNIÈRE,Aire de pique-nique,       ,       ,85600,SAINT-GEORGES-DE-MONTAIGU,85217,46.9498976,-1.2977755,,,,Aire de pique nique##Toilettes,,,,oui,non
PORT DE PÊCHE,,    Place du Port  ,    Place du Port  ,85460,L'AIGUILLON-SUR-MER,85001,46.3352161,-1.3150539,02 51 56 40 31,fabien.marionneau@laiguillonsurmer.fr,,Toilettes,oui,,Anglais##Français,oui,non
PORT DE PREFAILLES,Cale de mise à l'eau##Port de plaisance,    Pointe Saint-Gildas  ,    Pointe Saint-Gildas  ,44770,PREFAILLES,44136,47.13612,-2.24515,02 40 64 77 77,capitainerie@prefailles.fr,,,,,,,non
PÊCHE AUX ÉTANGS DE SANDUN,Lac de pêche,    Sandun  ,    Sandun  ,44350,GUERANDE,44069,47.35109,-2.33541,02 40 61 92 98,,,,,,,oui,non
PRAIRIE DE LA GARENNE,Aire de pique-nique,       ,       ,85600,SAINT-GEORGES-DE-MONTAIGU,85217,46.9507911,-1.3038051,,,,Aire de pique nique##Toilettes,,,,oui,non
PORT DE PLAISANCE DE L'HERBAUDIÈRE (SA),,    Capitainerie - Port de l'Herbaudière  ,    Capitainerie - Port de l'Herbaudière  ,85330,NOIRMOUTIER-EN-L'ILE,85163,47.0258,-2.29852,02 51 39 05 05,infos@portdeplaisance-herbaudiere.com,,,,,,,non
PORT DE PLAISANCE DU BANC CANTIN,,    Allée du Banc Cantin  ,    Allée du Banc Cantin  ,85460,L'AIGUILLON-SUR-MER,85001,46.330312,-1.3092012,02 51 56 40 31,fabien.marionneau@laiguillonsurmer.fr,,,,,,oui,non
PORT DE PLAISANCE COMMUNAL DE MORIN,,    Capitainerie - BP 3  ,    Capitainerie - BP 3  ,85740,L'EPINE,85083,46.98289,-2.29099,02 51 35 81 26,portdemorin@orange.fr,,,,,,,non
PONTON DE PÊCHE SUR L'ETANG DE LA COURBE A ORIGNE,Ponton,  La Grande Courbe     ,  La Grande Courbe     ,53360,ORIGNE,53172,47.9715549,-0.7279771,02 43 69 12 13,peche.mayenne@wanadoo.fr,http://www.fedepeche53.com/handipeche/acces_peche_handi.php#courbe,,,,,oui,non
PONEY-CLUB DE L'ARCHE - BALADE À CHEVAL,Activités sportives,      La Monsazière ,      La Monsazière ,53470,LA BAZOUGE-DES-ALLEUX,53023,48.1979047,-0.5886827,02.43.02.59.42,poneyclubdelarche@orange.f,http://www.arche-53.ffe.com,,non,oui,Anglais##Espagnol##Français,oui,oui
PORT DU VIRLY,,  Port Rue du Port des Yatchs  ,  Port Rue du Port des Yatchs  ,85460,LA FAUTE-SUR-MER,85307,46.3225134,-1.3064204,02 51 97 03 92,,,,non,non,,oui,non
PONEY CLUB ST GEORGES BUTTAVENT,Centre équestre,      La Galesnerie,      La Galesnerie,53100,SAINT-GEORGES-BUTTAVENT,53219,48.2855759,-0.6991414,02 43 00 54 11,Poneyclub.stgeorgesbuttavent@gmail.com,http://www.poneyclubstgeorgesbuttavent.ffe.com/,,,,Français,oui,non
PONEY CLUB DU LOIR,Centre équestre,    La Gaugrière  ,    La Gaugrière  ,49140,SEICHES-SUR-LE-LOIR,49333,47.57701,-0.36322,06 03 55 63 83,poneyclubduloir@sfr.fr,http://www.pcduloir.ffe.com,Toilettes,,oui,Français,oui,oui
PONEY CLUB DES FONTAINES,Activités sportives,    La grande haie 20 rue de la Chabossonni  ,    La grande haie 20 rue de la Chabossonni  ,44119,GRANDCHAMPS-DES-FONTAINES,44066,47.3726691,-1.6245702,,,http://www.poney-clubdesfontaines.com/,,,,,oui,non
PORT DE PECHE,,    Vieux Port  ,    Vieux Port  ,44210,PORNIC,44131,47.11466,-2.1005,02 40 82 31 11,,,Bar##Restaurant,,,,,non
PORT DE PECHE,,    C.C.I. Centre de Marée Quai Marcel Bernard,    C.C.I. Centre de Marée Quai Marcel Bernard,85800,SAINT-GILLES-CROIX-DE-VIE,85222,46.697604,-1.9450562,,,,,,,,,non
