"Nom de l'offre d'activité touristique","Type détaillé d'activité","Adresse partie 1: Porte/escalier","Adresse partie 1 suite","Adresse partie 2","Adresse partie 3","Code postal","Commune de l'activité","Cedex de l'adresse postale","Code Insee de la Commune","location","Latitude","Longitude","Situation de l'offre","Emplacement géographique","N° de téléphone mobile","N° de téléphone fixe","N° de fax","Adresse e-Mail","Url du site web","Type de plateforme/url","Services proposés sur l'équipement de loisir","Equipements présents sur le site de loisir","Animal accepté: oui / non","Complément information animal accepté","Labels","Label tourisme handicap","Groupe accepté: oui / non","Catégorie de la prestation fournie","Type formule itinérante","Activité sportive proposée","Type activité culturelle proposée","Langues parlées à l'accueil","Langues des audio guides","Visites libres proposées aux individuels en permanence: oui / non","Durée de visite pour les individuels","Visites guidées proposées aux individuels en permanence: oui / non","Visites guidées proposées aux individuels sur demande: oui / non","Langues des panneaux d'info","Langues parlées","Complément d'info sur les visites","Visites guidées proposées aux groupes en permanence: oui / non","Visites pédagogiques proposées aux groupes en permanence: oui / non","Visites guidées proposées aux groupes en permanence: oui / non","Visites guidées proposées aux groupes sur demande: oui / non","Durée de visite pour les groupes","Lieux de pratique de l'activité de loisirs","Commune de départ de la formule itinérante","Commune d'arrivée de la formule itinérante","Ouverture de l'offre toute l'année: oui / non","Horaires d'ouvertures","ResaDirecte","Centrale de réservation en ligne: oui / non","Nom centrale de réservation en ligne: url réservation en ligne / téléphone centrale / mail centrale","Tarifs","Tarif gratuit : oui / non","Modes de paiement acceptés"
"CINEMA L'AIGLON","Cinéma","","","12, rue du Pré de la Ville","","53370","SAINT-PIERRE-DES-NIDS","","53246","[ 48.4017363 , -0.0990991]","48.4017363","-0.0990991","","","","02 43 03 54 68","","","http://cinemalaiglon.wixsite.com","","","Salle de projection##Toilettes","non","","","","oui","","","","","Français","","","","","","","","","","","","","","","","","oui","","","","","Tarif indiv. enfant||||||Moins de 12 ans","non","Chèques bancaires et postaux"
"CINEMA LE CLUB","Cinéma","","","25 bis rue des Venelles","","49120","CHEMILLE-EN-ANJOU","","49092","[ 47.212119 , -0.7265339]","47.212119","-0.7265339","","","","02 41 30 37 73","","","http://www.cinemachemille.com","","","Toilettes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RANDONNEE PEDESTRE SUR LE CANTON DE MAYET","Activités sportives","","","","","72360","MAYET","","72191","[ 47.7493843 , 0.272743]","47.7493843","0.272743","Route (nationale/départ.)||D338||5##Autoroute||A28 (sortie Ecommoy)||7##Aéroport/aérodrome||Le Mans||36##Gare SNCF||Mayet||1,5","","","","","","","","","","oui","","","","oui","Pratique libre","","","","Anglais","","","","","","","","","","","","","","","Mayet","Mayet","oui","","","","","","","Chèques bancaires et postaux"
"RANDONNEE PEDESTRE SUR LE CANTON DE LA CHARTRE SUR LE LOIR","Activités sportives","","","","","72340","LA CHARTRE-SUR-LE-LOIR","","72068","[ 47.728933 , 0.57381]","47.728933","0.57381","Autoroute||A 28 Chateau du Loir||15##Gare SNCF||Chateau du Loir||15","","","02 43 38 16 60","","info@vallee-du-loir.com","http://www.vallee-du-loir.com","Facebook||https://www.facebook.com/pages/Office-Tourisme-Val-du-Loir/215023385199253","","","oui","","","","oui","Pratique libre","","","","Anglais##Espagnol","","","","","","","","","","","","","","","","","oui","","","","","","",""
"RANDONNEE PEDESTRE SUR LE CANTON DE CHATEAU DU LOIR","Activités sportives","","","","","72500","MONTVAL-SUR-LOIR","","72071","[ 47.692668 , 0.418068]","47.692668","0.418068","","","","02 43 38 16 60","","info@vallee-du-loir.com","http://www.vallee-du-loir.com","","","","","","","","","Pratique libre","","","","","","","","","","","","","","","","","","","","","oui","","","","","","non","Chèques bancaires et postaux"
"QI GONG - RELAXATION ET BIEN ÊTRE","Activités culturelles","","","Plage des vieilles","","85350","L'ILE-D'YEU","","85113","[ 46.69537 , -2.3136182]","46.69537","-2.3136182","Bord de mer||||","","06 62 38 56 07","06 28 16 10 90","","yan.messiez@sfr.fr","","","","","","","","","","","","","Arts du spectacle","","","","","","","","","","","","","","","","","","","","","","","","","Chèques bancaires et postaux"
"PÔLE DE LOISIRS DU LAC","Aire de pique-nique##Base de loisirs##Jeux pour enfants##Lac de pêche##Parcours dans les arbres##Piscine##Tennis","","","","Lac de la Vallée Mabile","44260","SAVENAY","","44195","[ 47.3554593 , -1.9248276]","47.3554593","-1.9248276","","","","02 40 58 39 39","","mairie@ville-savenay.fr","http://www.ville-savenay.fr","","Espace jeux","Aire de pique nique","oui","","","","oui","","","","","","","oui","","","","","","","oui","","","","","","","","oui","","","","","","oui",""
"PÊCHES SPORTIVES AVEC DAVID DOUSSOT","Activités sportives","","","Port Olona","Ponton Accueil","85100","LES SABLES-D'OLONNE","","85194","[ 46.503739 , -1.792874]","46.503739","-1.792874","","","06 07 34 10 26","","","david.doussot@orange.fr","http://www.jamaisbredouille.com/","","","","non","","","","","","","Pêche","","","","","","","","","","","","","","","","","","","oui","","","","","","",""
"PÊCHEURS D'ÉTOILES","","","","84 avenue Saint Georges","","44500","LA BAULE-ESCOUBLAC","","44055","[ 47.2926 , -2.35724]","47.2926","-2.35724","","","06 85 97 67 23 ","","","pechetoile@orange.fr","http://www.pecheurdetoiles.com","","","","oui","","","","","","","","","Anglais##Espagnol","","","","","","","","","","","","","","","","","oui","01/01/2017||31/12/2017||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","","","","","","Chèques bancaires et postaux"
"PÊCHE À L'ÉTANG DE L'AUJARDIÈRE","Activités sportives","","","","L'Aujardière","85590","LES EPESSES","","85082","[ 46.8880835 , -0.9055506]","46.8880835","-0.9055506","","","","","","","","","","","","","","","","Pratique libre","","Pêche","","","","","","","","","","","","","","","","Etang de l'Aujardière","","","","01/01/2018||31/12/2018||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","","","","","",""
"PÊCHE À CORDEMAIS","Activités sportives","","","","","44360","CORDEMAIS","","44045","[ 47.291429 , -1.876729]","47.291429","-1.876729","","","","02 40 85 95 13","","","","","","","","","","","","","","Pêche","","","","","","","","","","","","","","","","A la pointe de l'île et au plan d'eau de la côte à Cordemais ainsi que le plan d'eau de l'hippodrome. ","CORDEMAIS","CORDEMAIS","oui","","","","","","",""
"PÊCHE EN MER - LE TRISKELL - RÉGIS BLANDIN","","","","","","44420","LA TURBALLE","","44211","[ 47.3730044 , -2.4929343]","47.3730044","-2.4929343","","","","06 84 56 97 85","","arttriskell@aol.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","14/07/2017||30/08/2017||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","","","","","","Chèques bancaires et postaux"
"PÊCHE EN LOIRE À ST FLORENT-LE-VIEIL","Activités sportives","","","","SAINT-FLORENT-LE-VIEIL","49410","MAUGES-SUR-LOIRE","","49244","[ 47.3643984 , -1.0262301]","47.3643984","-1.0262301","","","","","","","http://www.fedepeche49.fr/","","","","","","","","","Pratique libre","","Pêche","","","","","","","","","","","","","","","","La Loire","SAINT FLORENT LE VIEIL","SAINT FLORENT LE VIEIL","","","","","","","non",""
"PÊCHE EN LOIRE QUAI DES MARINIERS","Activités sportives","","","Quai des Mariniers","MONTJEAN-SUR-LOIRE","49570","MAUGES-SUR-LOIRE","","49244","[ 47.3926332 , -0.8627604]","47.3926332","-0.8627604","","","","02 41 39 07 07","","","","","","","oui","","","","oui","Pratique libre","","Pêche","","","","","","","","","","","","","","","","La Loire","MONTJEAN SUR LOIRE","MONTJEAN SUR LOIRE","oui","","","","","","oui",""
"PÊCHE EN LOIRE AU CUL DU MOULIN ET À LA PATACHE","Activités sportives","","","","Cul du Moulin - CHAMPTOCEAUX","49270","OREE D'ANJOU","","49069","[ 47.3396501 , -1.2746218]","47.3396501","-1.2746218","","","","02 40 83 57 49","","champtoceaux@uneautreloire.fr","http://www.champtoceaux.fr/tourisme/lieux-de-peche.html","","","","","","","","","Pratique libre","","Pêche","","","","","","","","","","","","","","","","Pratique libre de la pêche au Cul du Moulin et à la Patache.","CHAMPTOCEAUX","CHAMPTOCEAUX","","","","","","","",""
"PÊCHE EN LAC ET RIVIÈRE","Activités sportives","","","le moulin à eau","","85190","MACHE","","85130","[ 46.75108 , -1.68057]","46.75108","-1.68057","","","","02 51 55 70 54","","","http://www.federation-peche-vendee.fr","Facebook||https://www.facebook.com/pages/Br%C3%A8me-de-la-vall%C3%A9e-de-la-vie/465251630294242?sk=timeline","","","","","","","","","","Pêche","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PÊCHE EN MER - A3PB","Activités sportives","","Ponton E","Port Bourgenay","","85440","TALMONT-SAINT-HILAIRE","","85288","[ 46.4413592 , -1.6795808]","46.4413592","-1.6795808","","","06 27 14 17 21","","","a3pb@aol.com","http://a3pb.com","","","","","","","","","Accompagnement","","Pêche en mer","","Anglais##Français","","","","","","","","","","","","","","A Port Bourgenay","TALMONT-SAINT-HILAIRE","TALMONT-SAINT-HILAIRE","non","01/04/2018||30/09/2018||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","","","","","","Chèques bancaires et postaux##Chèques Vacances"
"PÊCHE EN MER - LE BENJY-YOMI","","","","Port de La Turballe","","44420","LA TURBALLE","","44211","[ 47.346931 , -2.513905]","47.346931","-2.513905","","","","06 68 10 50 94","","benjy.yomi@sfr.fr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20/06/2017||30/09/2017||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","","","","","","Chèques bancaires et postaux"
"RANDO CROQUIS","Aire de pique-nique##Base de loisirs","","","impasse du Paradis","","44450","DIVATTE-SUR-LOIRE","","44029","[ 47.2746573 , -1.3404392]","47.2746573","-1.3404392","","","","02 40 33 34 00","","mairie@divattesurloire.fr","http://www.chapellebassemer.fr/","","","Aire de pique nique","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","oui",""
"RANDO SENTIERS PEDESTRES","Activités sportives","","","les Grandes Braudières","","49310","CHEMILLE-EN-ANJOU","","49092","[ 47.185435 , -0.6298669]","47.185435","-0.6298669","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CINEMA GRAND ECRAN","Cinéma","","","1 rue Neuve","","85500","LES HERBIERS","","85109","[ 46.8722119 , -1.0140746]","46.8722119","-1.0140746","Gare SNCF||Cholet||27##Autoroute||Sortie N°29 Les Herbiers||6##||||10","","","02 51 66 82 57","","","http://www.cinemagrandecran.fr","Facebook||https://www.facebook.com/cinemadesherbiers/","","Salle de projection##Toilettes","non","","","","oui","","","","","Français","","","","","","","","","","","","","","","","","oui","01/01/2017||31/12/2017||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##01/01/2018||31/12/2018||Horaires fixées en fonction des séances.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","","","","Tarif indiv. réduit||||||- de 25 ans, étudiants, familles nombreuses, en recherche d'emploi##Tarif indiv. enfant||||||Enfant de - de 14 ans##Tarif indiv. adulte||6,5||||##Tarif indiv. réduit||5,5||||-25 ans, étudiants, familles nombreuses, demandeurs d'emploi##Tarif indiv. enfant||4||||-14 ans.","non","Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances"
"PÊCHE DANS LES BOIRES DE LA GRISERIE, CHAPOIN, QUEUE DE LA LUCE","Activités sportives","","","","LA VARENNE","49270","OREE D'ANJOU","","49069","[ 47.3187882 , -1.3240159]","47.3187882","-1.3240159","","","","02 40 83 57 49","","champtoceaux@uneautreloire.fr","","","","","","","","","","Pratique libre","","Pêche","","","","","","","","","","","","","","","","Pratique libre de la pêche dans les boires de la Griserie, Chapoin; Queue de la Luce à la Varenne.","LA VARENNE","LA VARENNE","","","","","","","",""
"PÊCHE DANS LES PLANS D’EAU DU VIVIER, DE LA PRAIRIE ET DU MOULIN","Lac de pêche","","","","","72110","BONNETABLE","","72039","[ 48.1813937 , 0.43985074]","48.1813937","0.43985074","","","","","","","","","","Aire de pique nique","oui","","","","","","","","","","","","","","","","","","","","","","","","","","oui","||||Heures légales d'ouverture de la pêche||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","","","","","",""
"PÊCHE DANS LE BASSIN VERSANT DE L'ÈVRE","Activités sportives","","","","Notre Dame du Marillais - LE MARILLAIS","49410","MAUGES-SUR-LOIRE","","49244","[ 47.3631762 , -1.0342559]","47.3631762","-1.0342559","","","","","","saintflorentlevieil@uneautreloire.fr","http://www.fedepeche49.fr","","","","","","","","","Pratique libre","","Pêche","","","","","","","","","","","","","","","","Le bassin versant de l’Evre","VEZINS","SAINT FLORENT LE VIEIL","oui","","","","","","",""
"RANDO MARCHE PEDESTRE","Activités sportives","","","34 Rue Beausoleil","","49120","CHEMILLE-EN-ANJOU","","49092","[ 47.1504829 , -0.739643]","47.1504829","-0.739643","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PÊCHE DANS LE TRIPOULIN (OU TRIPOULAIN)","Lac de pêche","","","","","72110","BONNETABLE","","72039","[ 48.1784964 , 0.42827432]","48.1784964","0.42827432","","","","","","","","","","Aire de pique nique","oui","","","","","","","","","","","","","","","","","","","","","","","","","","oui","||||Heures légales d'ouverture de la pêche||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","","","","","",""
"RANDO LES GODILLOTS DE L'HYROME","Activités sportives","","","","","49120","CHEMILLE-EN-ANJOU","","49092","[ 47.210107 , -0.7274089]","47.210107","-0.7274089","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Région de Chemillé","","","","","","","","","",""
"PÊCHE DANS LES MARAIS","Activités sportives","","","Les Galtières","(prendre la direction de Brem sur Mer par la forêt)","85340","OLONNE-SUR-MER","","85166","[ 46.560076 , -1.791264]","46.560076","-1.791264","","","","02 51 90 52 44","","","","","","","","","","","","","","Pêche","","","","","","","","","","","","","","","","","","","non","15/06/2017||15/09/2017||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","","","","","",""
"PÊCHE DANS L'ÉTANG DE LA FOUCAUDIÈRE","Activités sportives","","","","La Foucaudière - SAINT-LAURENT-DES-AUTELS","49270","OREE D'ANJOU","","49069","[ 47.2740825 , -1.1924147]","47.2740825","-1.1924147","","","","02 40 83 57 49","","champtoceaux@uneautreloire.fr","","","","","","","","","","Pratique libre","","Pêche","","","","","","","","","","","","","","","","Pratique libre de la pêche à l'étang communal de la Foucaudière.","SAINT LAURENT DES AUTELS","SAINT LAURENT DES AUTELS","","","","","","","non",""
"PÊCHE DANS LA BOIRE SAINTE CATHERINE","Activités sportives","","","","Le Fossé Neuf - BOUZILLE","49530","OREE D'ANJOU","","49069","[ 47.358045 , -1.1228624]","47.358045","-1.1228624","","","","02 40 83 57 49","","champtoceaux@uneautreloire.fr","","","","","","","","","","Pratique libre","","Pêche","","","","","","","","","","","","","","","","Pêche dans la boire Sainte Catherine à Bouzillé","BOUZILLE","BOUZILLE","","","","","","","",""
"RANDO FAMILLE RURALE","Activités sportives","","","","","49120","CHEMILLE-EN-ANJOU","","49092","[ 47.249737 , -0.7745815]","47.249737","-0.7745815","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RANDO CLUB PEDESTRE","Activités sportives","","","20 rue des Tisserands","","49120","CHEMILLE-EN-ANJOU","","49092","[ 47.1461615 , -0.6957261]","47.1461615","-0.6957261","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RANCH DES BORD DE LOIRE ","Centre équestre","","","","L'Angle ","44360","SAINT-ETIENNE-DE-MONTLUC","","44158","[ 47.270638 , -1.8393009]","47.270638","-1.8393009","","","06 70 12 93 87 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QUINTESSIA-LE DOMAINE D'ORVAULT","Thalassothérapie","","","24 Chemin des marais du Cens","","44700","ORVAULT","","44114","[ 47.2587593 , -1.590199]","47.2587593","-1.590199","","","","02.40.76.84.02","","contact@quintessia-resort.com","http://www.quintessia-resort.com/fr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RALLYE TEAM CHEMILLOIS","Activités sportives","","","","","49120","CHEMILLE-EN-ANJOU","","49092","[ 47.2100819 , -0.7274078]","47.2100819","-0.7274078","","","","02 41 30 32 98","","sarlmrc49@orange.fr","","","","","","","","","","","","Automobile","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PÉTANQUE CHAUMOISE","Boulodrome","","","Boulodrome des Sauniers","Impasse de la salle des Sauniers","85100","LES SABLES-D'OLONNE","","85194","[ 46.521039 , -1.80103]","46.521039","-1.80103","","","06 50 38 34 10","","","claudedelachaume@free.fr","http://www.petanquechaumoise.fr","","","","non","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","",""
"PÊCHE À PIED","Lac de pêche","","","Pointe de Casse Caillou","","44740","BATZ-SUR-MER","","44010","[ 47.27537 , -2.49411]","47.27537","-2.49411","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PÊCHE DANS LES MARAIS DE GRANDE BRIÈRE","Lac de pêche","","","Mairie de Missillac","6, rue de la Fointaine Saint Jean","44780","MISSILLAC","","44098","[ 47.4812205 , -2.1588959]","47.4812205","-2.1588959","","","","02 28 54 90 06","02 28 54 90 06","","http://www.csgbm.free.fr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PÊCHE À GÉVRISE","Activités sportives","","","","BOTZ EN MAUGES","49110","MAUGES-SUR-LOIRE","","49244","[ 47.305468 , -1.0312203]","47.305468","-1.0312203","","","","02 41 72 62 32","","","","","","","","","","","","Pratique libre","","Pêche","","","","","","","","","","","","","","","","La rivière de l'Evre et le ruisseau du Pont Laurent ","","","","","","","","","",""
"PÔLE EQUESTRE VENDÉEN","Centre équestre","","","La Jeannière ","RD 109","85150","SAINTE-FOY","","85214","[ 46.535518 , -1.676163]","46.535518","-1.676163","","","","02 51 96 06 78","","contact@poleequestrevendeen.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","",""
"PÊCHE AU PÔLE DE LOISIRS DU LAC-SAVENAY","Activités sportives","","","5 place Guépin","","44260","SAVENAY","","44195","[ 47.359814 , -1.943206]","47.359814","-1.943206","","","","02 28 01 60 16","","","","","","","","","","","","Pratique libre","","Pêche","","","","","","","","","","","","","","","","Lac de la Vallée Mabile","SAVENAY","SAVENAY","","","","","","","",""
"PÊCHE AU PLAN D'EAU DU PILORI-CAMPBON","Activités sportives","","","Plan d'eau du Pilori","","44750","CAMPBON","","44025","[ 47.41225 , -1.96763]","47.41225","-1.96763","","","","02 28 01 60 16","","","","","","","","","","","","Pratique libre","","Pêche","","","","","","","","","","","","","","","","Plan d'eau du Pilori - Campbon","CAMPBON","CAMPBON","","","","","","","",""
